,unaligned,aligned_unmapped,mapped_to_exon,mapped_to_intron,ambiguous_mapping,mapped_to_ERCC,mapped_to_MT,number_of_genes,total_count_per_cell,non_ERCC_percent,non_mt_percent,non_ribo_percent,outliers,H1975,H2228,HCC827,poor_quality,traj,group,H2228_to_H1975,H2228_to_HCC827,H1975_to_HCC827,cell,celltype,celltype_c,celltype_f
H1975_H2228_HCC827.0_0_9.2,105232,9057,178046,44986,4706,96,10063,5525,25196,0.999404667010873,0.863232258746137,0.848070785810928,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.2,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.3,110702,12235,183190,46717,5805,73,23594,5646,26374,0.999355425419218,0.846932584800587,0.857397111777845,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.3,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.4,90472,9346,130297,45423,3980,155,15229,4628,18716,0.999412267044554,0.843502884781202,0.857608005125024,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.4,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.5,61628,4796,114757,20680,3880,80,7036,3922,15239,0.998950061684526,0.856158540024832,0.849989599061881,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.5,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.6,85713,8152,135481,38580,4902,81,11718,4654,18803,0.999042705419857,0.864861989648002,0.851672152490479,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.6,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.7,100476,10571,150357,48260,4424,140,25471,4813,19642,0.998829039304129,0.848895224086704,0.869310218251594,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.7,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.8,67439,4748,59283,17746,1585,54,3889,3172,10426,0.998177631883582,0.85286782960592,0.84557755076007,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.8,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.9,76563,7975,113984,35202,3482,61,13454,3988,15505,0.998968074170288,0.858561753719083,0.845210677065026,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.9,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.10,75189,6110,128835,24471,3486,109,13443,4419,18632,0.999033919601205,0.841294546564355,0.845587781457825,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.10,2,HCC827,HCC827
H1975_H2228_HCC827.0_0_9.12,107814,9984,181180,51480,5285,145,12688,5450,24415,0.998607413066309,0.861847224713558,0.854310524550266,FALSE,0,0,9,NO,YES,0_0_9,NA,6,6,H1975_H2228_HCC827.0_0_9.12,2,HCC827,HCC827
